payment_id,parcel_id,person_id,award_amount,solatium_pct,interest_included,assessed_amount,paid_amount,payment_status,mock_pfms_reference
PAY-00001,LA-KA-2026-001-P001,IP-0001,21624000,100,True,21624000,0,Pending,MOCK-PFMS-20260001
PAY-00002,LA-KA-2026-001-P002,IP-0002,17612000,100,True,17612000,11447800,Partially Paid,MOCK-PFMS-20260002
PAY-00003,LA-KA-2026-001-P003,IP-0003,31093000,100,True,31093000,0,Pending,MOCK-PFMS-20260003
PAY-00004,LA-KA-2026-001-P004,IP-0004,17425000,100,True,17425000,11326250,Partially Paid,MOCK-PFMS-20260004
PAY-00005,LA-KA-2026-002-P005,IP-0005,33787500,100,True,33787500,0,Pending,MOCK-PFMS-20260005
PAY-00006,LA-KA-2026-002-P006,IP-0006,19992000,100,True,19992000,0,Pending,MOCK-PFMS-20260006
PAY-00007,LA-KA-2026-002-P007,IP-0007,44633500,100,True,44633500,0,Pending,MOCK-PFMS-20260007
PAY-00008,LA-KA-2026-002-P008,IP-0008,16320000,100,True,16320000,0,Pending,MOCK-PFMS-20260008
PAY-00009,LA-KA-2026-003-P009,IP-0009,73882000,100,True,73882000,0,Pending,MOCK-PFMS-20260009
PAY-00010,LA-KA-2026-003-P010,IP-0010,60928000,100,True,60928000,39603200,Partially Paid,MOCK-PFMS-20260010
PAY-00011,LA-KA-2026-003-P011,IP-0011,57171000,100,True,57171000,0,Pending,MOCK-PFMS-20260011
PAY-00012,LA-KA-2026-003-P012,IP-0012,60350000,100,True,60350000,39227500,Partially Paid,MOCK-PFMS-20260012
PAY-00013,LA-KA-2026-004-P013,IP-0013,38743000,100,True,38743000,0,Pending,MOCK-PFMS-20260013
PAY-00014,LA-KA-2026-004-P014,IP-0014,29988000,100,True,29988000,0,Pending,MOCK-PFMS-20260014
PAY-00015,LA-KA-2026-004-P015,IP-0015,28084000,100,True,28084000,0,Pending,MOCK-PFMS-20260015
PAY-00016,LA-KA-2026-004-P016,IP-0016,47600000,100,True,47600000,0,Pending,MOCK-PFMS-20260016
PAY-00017,LA-KA-2026-005-P017,IP-0017,30634000,100,True,30634000,30634000,Paid,MOCK-PFMS-20260017
PAY-00018,LA-KA-2026-005-P018,IP-0018,27608000,100,True,27608000,27608000,Paid,MOCK-PFMS-20260018
PAY-00019,LA-KA-2026-005-P019,IP-0019,18555500,100,True,18555500,18555500,Paid,MOCK-PFMS-20260019
PAY-00020,LA-KA-2026-005-P020,IP-0020,18700000,100,True,18700000,18700000,Paid,MOCK-PFMS-20260020
